卦別爻號,卦別,卦圖,卦爻辭,象辭,彖辭,卦爻辭解讀-傅佩榮
乾,乾為天,䷀,乾：元，亨，利，貞。,象曰：天行健，君子以自強不息。,彖曰：大哉乾元，萬物資始，乃統天。雲行雨施，品物流形。大明始終，六位時成，時乘六龍以御天。乾道變化，各正性命，保合大和，乃利貞。首出庶物，萬國咸寧。,"【白話】
乾卦。創始、通達、合宜、正固。
【解讀】
•《易經》有六十四卦，每一卦都是先畫出卦圖，再標出卦名。卦
圖由六爻組成，爻有陰陽之分。所謂六爻，其實是
由兩個單卦（各有三爻）所合成。本卦稱 乾卦（下乾上乾），六
爻皆陽，陽有剛健之意，象徵原始的生命力，充滿動態的能量。

• 乾卦在六十四卦中，是八純卦之一。所謂純卦，是指上下皆為
同一個單卦所組成者。依序出現的有：乾卦（第一卦），
坤卦（第二卦），習坎卦（第二十九卦），離卦（第三十卦），
震卦（第五十一卦），艮卦（第五十二卦），巽卦（第五十七卦），
兌卦（第五十八卦）。

•《易經》有《序卦》，說明六十四卦的排列順序，可供我們理
解各卦之參考。譬如，《序卦》開頭就說：“有天地，然後萬物
生焉。”意思是以乾卦為天，並以坤卦為地。有天地才能化生萬
物。乾代表陽剛勁健的主動力，坤則是承受力，兩者相摩相蕩
而變化生出萬物。

“元享利貞”是本卦的卦辭，附在卦名之後，是對本卦所作
的基本判斷。“元”，原也，萬物由此創始；“享”，通也，萬
物有其共同來源，並且形成一個整體，所以彼此之間通順暢
達；“利”，宜也，萬物變遷執行，對一切都有利而和譜，“貞”，
正也，由此所展現的萬物，可以堅持自身的途徑，進而恆久
不息。"
乾初,乾,,初九：潛龍，勿用。,象曰：潛龍勿用，陽在下也。,,"【白話】
初九。龍潛伏著，不要有所作為。
【解讀】
“初九”是本爻的序位。六爻由下而上的序位依序是初、二、
三、四、五、上。“九”指陽爻，而“六”指陰爻。陽為奇數，
又以動為主，所以取奇數（一、三、五、七、九）之終，表示
動之極。陰為偶數，且以靜為主，所以取偶數（二、四、六、八、
十）之中，表示靜之極。另一說法，則以揲蓍成卦時，得六、七、
八、九四個數字，其中九為老陽（九大於七，七為少陽），六為
老陰（陰數如負數，所以，八為少陰）。《易經》用老不用少，故
稱九與六。
“潛龍勿用”是本爻的爻辭，以下各爻皆有爻辭。“龍”是古
代傳說中的神奇生物，充滿剛健的活力與變化的勢能，可以“乘
2

初九位於地之下，猶如
在深淵之中，所以稱為
“潛龍”，此時不宜有所
作為。正如人在年輕時，
要努力進德修業，培養
實力。
11
乾卦 =
風雲而上天”。爻辭多就本爻所處之位，作一客觀的描述，此為
筮辭；再論斷其出處進退以及吉凶禍福，此為占驗之辭。以位
而言，初、二是地；三、四是人；五、上是天。初九位於地之
下，猶如在深淵之中，所以稱為“潛龍”，此時不宜有所作為。
正如人在年輕時，要努力進德修業，培養實力。"
乾二,乾,,九二：見龍再田，利見大人。,象曰： 見龍再田，德施普也。,,
乾三,乾,,九三：君子終日乾乾，夕惕若，厲無咎。,象曰： 終日乾乾，反復道也。,,
乾四,乾,,九四：或躍在淵，無咎。,象曰： 或躍在淵，進無咎也。,,
乾五,乾,,九五：飛龍在天，利見大人。,象曰：飛龍在天，大人造也。,,
乾上,乾,,上九：亢龍有悔。,象曰：亢龍有悔，盈不可久也。,,
乾用,乾,,用九：見群龍無首，吉。,象曰： 用九，天德不可為首也。,,
坤,坤為地,䷁,坤：元，亨，利牝馬之貞。 君子有攸往，先迷后得主，利西南得朋，東北喪朋。 安貞，吉。,象曰：地勢坤，君子以厚德載物。,彖曰：至哉坤元，萬物資生，乃順承天。 坤厚載物，德合無疆。 含弘光大，品物咸亨。 牝馬地類，行地無疆，柔順利貞。 君子攸行，先迷失道，后順得常。 西南得朋，乃與類行﹔東北喪朋，乃終有慶。安貞之吉，應地無疆。,
坤初,坤,,初六：履霜，堅冰至。,象曰：履霜堅冰，陰始凝也。 馴致其道，至堅冰也。,,
坤二,坤,,六二：直，方，大，不習無不利。,象曰：六二之動，直以方也。 不習無不利，地道光也。,,
坤三,坤,,六三：含章可貞。 或從王事，無成有終。,象曰：含章可貞﹔以時發也。 或從王事，知光大也。,,
坤四,坤,,六四：括囊﹔無咎，無譽。,象曰：括囊無咎，慎不害也。,,
坤五,坤,,六五：黃裳，元吉。,象曰：黃裳元吉，文在中也。,,
坤上,坤,,上六：戰龍於野，其血玄黃。,象曰：戰龍於野，其道窮也。,,
坤用,坤, ,用六：利永貞。,象曰：用六永貞，以大終也。,,
屯卦,水雷屯,䷂,屯：元，亨，利，貞，勿用，有攸往，利建侯。,象曰：云，雷，屯﹔君子以經綸。,彖曰：屯，剛柔始交而難生，動乎險中，大亨貞。雷雨之動滿盈，天造草 昧，宜建侯而不寧。,
屯初,屯,,初九：磐桓﹔利居貞，利建侯。,象曰：雖磐桓，志行正也。 以貴下賤，大得民也。,,
屯二,屯,,六二：屯如邅如，乘馬班如。 匪寇婚媾，女子貞不字，十年乃字。,象曰：六二之難，乘剛也。 十年乃字，反常也。,,
屯三,屯,,六三：既鹿無虞，惟入于林中，君子几不如舍，往吝。,象曰：既鹿無虞，以縱禽也。 君子舍之，往吝窮也。,,
屯四,屯,,六四：乘馬班如，求婚媾，無不利。,象曰：求而往，明也。,,
屯五,屯,,九五：屯其膏，小貞吉，大貞凶。,象曰：屯其膏，施未光也。,,
屯上,屯,,上六：乘馬班如，泣血漣如。,象曰：泣血漣如，何可長也。,,
蒙,山水蒙,䷃,蒙：亨。 匪我求童蒙，童蒙求我。 初噬告，再三瀆，瀆則不告。利貞。,象曰：山下出泉，蒙﹔君子以果行育德。,彖曰：蒙，山下有險，險而止，蒙。 蒙亨，以亨行時中也。匪我求童蒙，童蒙求我，志應也。 初噬告，以剛中也。再三瀆， 瀆則不告，瀆蒙也。 蒙以養正，聖功也。,
蒙初,蒙,,初六：發蒙，利用刑人，用說桎梏，以往吝。,象曰：利用刑人，以正法也。,,
蒙二,蒙,,九二：包蒙吉﹔納婦吉﹔子克家。,象曰：子克家，剛柔接也。,,
蒙三,蒙,,六三：勿用娶女﹔見金夫，不有躬，無攸利。,象曰：勿用娶女，行不順也。,,
蒙四,蒙,,六四：困蒙，吝。,象曰：困蒙之吝，獨遠實也。,,
蒙五,蒙,,六五：童蒙，吉。,象曰：童蒙之吉，順以巽也。,,
蒙上,蒙,,上九：擊蒙﹔不利為寇，利御寇。,象曰：利用御寇，上下順也。,,
需,水天需,䷄,需：有孚，光亨，貞吉。 利涉大川。,象曰：云上於天，需﹔君子以飲食宴樂。,彖曰：需，須也﹔險在前也。 剛健而不陷，其義不困窮矣。 需有孚，光亨，貞吉。 位乎天位，以正中也。 利涉大川，往有功也。,
需初,需,,初九：需于郊。 利用恆，無咎。,象曰：需于郊，不犯難行也。 利用恆，無咎﹔未失常也。,,
需二,需,,九二：需于沙。 小有言，終吉。,象曰：需于沙，衍在中也。 雖小有言，以終吉也。,,
需三,需,,九三：需于泥，致寇至。,象曰：需于泥，災在外也。 自我致寇，敬慎不敗也。,,
需四,需,,六四：需于血，出自穴。,象曰：需于血，順以聽也。,,
需五,需,,九五：需于酒食，貞吉。,象曰：酒食貞吉，以中正也。,,
需上,需,,上六：入于穴，有不速之客三人來，敬之終吉。,象曰：不速之客來，敬之終吉。 雖不當位，未大失也。,,
訟,天水訟,䷅,訟：有孚，窒。 惕中吉。 終凶。 利見大人，不利涉大川。,象曰：天與水違行，訟﹔君子以作事謀始。,彖曰：訟，上剛下險，險而健訟。訟有孚窒，惕中吉，剛來而得中也。終凶﹔訟不可成也。 利見大人﹔尚中正也。不利涉大川﹔入于淵也。,
訟初,訟,,初六：不永所事，小有言，終吉。,象曰：不永所事，訟不可長也。 雖有小言，其辯明也。,,
訟二,訟,,九二：不克訟，歸而逋，其邑人三百戶，無眚。,象曰：不克訟，歸而逋也。 自下訟上，患至掇也。,,
訟三,訟,,六三：食舊德，貞厲，終吉，或從王事，無成。,象曰：食舊德，從上吉也。,,
訟四,訟,,九四：不克訟，復自命，渝，安貞吉。,象曰：復即命，渝安貞﹔不失也。,,
訟五,訟,,九五：訟元吉。,象曰：訟元吉，以中正也。,,
訟上,訟,,上九：或錫之鞶帶，終朝三褫之。,象曰：以訟受服，亦不足敬也。,,
師,地水師,䷆,師：貞，丈人，吉無咎。,象曰：地中有水，師﹔君子以容民畜眾。,彖曰：師，眾也，貞正也，能以眾正，可以王矣。 剛中而應，行險而順，以此毒天下，而民從之，吉又何咎矣。,
師初,師,,初六：師出以律，否臧凶。,象曰：師出以律，失律凶也。,,
師二,師,,九二：在師中，吉無咎，王三錫命。,象曰：在師中吉，承天寵也。 王三錫命，懷萬邦也。,,
師三,師,,六三：師或輿尸，凶。,象曰：師或輿尸，大無功也。,,
師四,師,,六四：師左次，無咎。,象曰：左次無咎，未失常也。,,
師五,師,,六五：田有禽，利執言，無咎。長子帥師，弟子輿尸，貞凶。,象曰：長子帥師，以中行也。弟子輿師，使不當也。,,
師上,師,,上六：大君有命，開國承家，小人勿用。,象曰：大君有命，以正功也。 小人勿用，必亂邦也。,,
比,水地比,䷇,比：吉。 原筮元永貞，無咎。 不寧方來，后夫凶。,象曰：地上有水，比﹔先王以建萬國，親諸侯。,彖曰：比，吉也，比，輔也，下順從也。 原筮元永貞，無咎，以剛中也。不寧方來，上下應也。 后夫凶，其道窮也。,
比初,比,,初六：有孚比之，無咎。 有孚盈缶，終來有他，吉。,象曰：比之初六，有他吉也。,,
比二,比,,六二：比之自內，貞吉。,象曰：比之自內，不自失也。,,
比三,比,,六三：比之匪人。,象曰：比之匪人，不亦傷乎！,,
比四,比,,六四：外比之，貞吉。,象曰：外比於賢，以從上也。,,
比五,比,,九五：顯比，王用三驅，失前禽。 邑人不誡，吉。,象曰：顯比之吉，位正中也。舍逆取順，失前禽也。 邑人不誡，上使中也。,,
比上,比,,上六：比之無首，凶。,象曰：比之無首，無所終也。,,
小畜,風天小畜,䷈,小畜：亨。 密云不雨，自我西郊。,象曰：風行天上，小畜﹔君子以懿文德。,彖曰：小畜﹔ 柔得位，而上下應之，曰小畜。 健而巽，剛中而志行，乃亨。 密云不雨，尚往也。 自我西郊，施未行也。,
小畜初,小畜,,初九：復自道，何其咎，吉。,象曰：復自道，其義吉也。,,
小畜二,小畜,,九二：牽復，吉。,象曰：牽復在中，亦不自失也。,,
小畜三,小畜,,九三：輿說輻，夫妻反目。,象曰：夫妻反目，不能正室也。,,
小畜四,小畜,,六四：有孚，血去惕出，無咎。,象曰：有孚惕出，上合志也。,,
小畜五,小畜,,九五：有孚攣如，富以其鄰。,象曰：有孚攣如，不獨富也。,,
小畜上,小畜,,上九：既雨既處，尚德載，婦貞厲。 月几望，君子征凶。,象曰：既雨既處，德積載也。 君子征凶，有所疑也。,,
履,天風履,䷉,履：履虎尾，不咥人，亨。,象曰：上天下澤，履﹔君子以辨上下，安民志。,彖曰：履，柔履剛也。說而應乎乾，是以履虎尾，不咥人，亨。剛中正，履帝位而不疚，光明也。,
履初,履,,初九：素履，往無咎。,象曰：素履之往，獨行愿也。,,
履二,履,,九二：履道坦坦，幽人貞吉。,象曰：幽人貞吉，中不自亂也。,,
履三,履,,六三：眇能視，跛能履，履虎尾，咥人，凶。 武人為于大君。,象曰：眇能視﹔不足以有明也。跛能履﹔不足以與行也。咥人之凶﹔位不當也。 武人為于大君﹔志剛也。,,
履四,履,,九四：履虎尾，愬愬終吉。,象曰：愬愬終吉，志行也。,,
履五,履,,九五：夬履，貞厲。,象曰：夬履貞厲，位正當也。,,
履上,履,,上九：視履考祥，其旋元吉。,象曰：元吉在上，大有慶也。,,
泰,地天泰,䷊,泰：小往大來，吉亨。,象曰：天地交泰，后以財（裁）成天地之道，輔相天地之宜，以左右民。,彖曰：泰，小往大來，吉亨。則是天地交，而萬物通也﹔上下交，而其志同也。內陽而外陰，內健而外順，內君子而外小人，君子道長，小人道消也。,
泰初,泰,,初九：拔茅茹，以其彙，征吉。,象曰：拔茅征吉，志在外也。,,
泰二,泰,,九二：包荒，用馮河，不遐遺，朋亡，得尚于中行。,象曰：包荒，得尚于中行，以光大也。,,
泰三,泰,,九三：無平不陂，無往不復，艱貞無咎。 勿恤其孚，于食有福。,象曰：無往不復，天地際也。,,
泰四,泰,,六四：翩翩不富，以其鄰，不戒以孚。,象曰：翩翩不富，皆失實也。 不戒以孚，中心愿也。,,
泰五,泰,,六五：帝乙歸妹，以祉元吉。,象曰：以祉元吉，中以行愿也。,,
泰上,泰,,上六：城復于隍，勿用師。 自邑告命，貞吝。,象曰：城復于隍，其命亂也。,,
否,天地否,䷋,否：否之匪人，不利君子貞，大往小來。,象曰：天地不交，否﹔君子以儉德辟難，不可榮以祿。,彖曰：否之匪人，不利君子貞。 大往小來， 則是天地不交，而萬物不通也﹔上下不交，而天下無邦也。內陰而外陽，內柔而外剛，內小人而外君子。 小人道長，君子道消也。,
否初,否,,初六：拔茅茹，以其彙，貞吉亨。,象曰：拔茅貞吉，志在君也。,,
否二,否,,六二：包承。 小人吉，大人否亨。,象曰：大人否亨，不亂群也。,,
否三,否,,六三：包羞。,象曰：包羞，位不當也。,,
否四,否,,九四：有命無咎，疇離祉。,象曰：有命無咎，志行也。,,
否五,否,,九五：休否，大人吉。 其亡其亡，系于苞桑。,象曰：大人之吉，位正當也。,,
否上,否,,上九：傾否，先否后喜。,象曰：否終則傾，何可長也。,,
同人,天火同人,䷌,同人：同人于野，亨。 利涉大川，利君子貞。,象曰：天與火，同人﹔君子以類族辨物。,彖曰：同人，柔得位得中，而應乎乾，曰同人。 同人曰，同人于野，亨。 利涉大川，乾行也。 文明以健，中正而應，君子正也。 唯君子為能通天下之志。,
同人初,同人,,初九：同人于門，無咎。,象曰：出門同人，又誰咎也。,,
同人二,同人,,六二：同人于宗，吝。,象曰：同人于宗，吝道也。,,
同人三,同人,,九三：伏戎于莽，升其高陵，三歲不興。,象曰：伏戎于莽，敵剛也。 三歲不興，安行也。,,
同人四,同人,,九四：乘其墉，弗克攻，吉。,象曰：乘其墉，義弗克也，其吉，則困而反則也。,,
同人五,同人,,九五：同人，先號啕而后笑。 大師克相遇。,象曰：同人之先，以中直也。 大師相遇，言相克也。,,
同人上,同人,,上九：同人于郊，無悔。,象曰：同人于郊，志未得也。,,
大有,火天大有,䷍,大有：元亨。,象曰：火在天上，大有﹔君子以竭惡揚善，順天休命。,彖曰：大有，柔得尊位，大中而上下應之，曰大有。其德剛健而文明，應乎天而時行，是以元亨。,
大有初,大有,,初九：無交害，匪咎，艱則無咎。,象曰：大有初九，無交害也。,,
大有二,大有,,九二：大車以載，有攸往，無咎。,象曰：大車以載，積中不敗也。,,
大有三,大有,,九三.公用亨于天子.小人弗克.,象曰：公用亨于天子，小人害也。,,
大有四,大有,,九四：匪其彭，無咎。,象曰：匪其彭，無咎﹔明辨晰也。,,
大有五,大有,,六五：厥孚交如，威如﹔吉。,象曰：厥孚交如，信以發志也。 威如之吉，易而無備也。,,
大有上,大有,,上九：自天佑之，吉無不利。,象曰：大有上吉，自天佑也。,,
謙,地山謙,䷎,謙：亨，君子有終。,象曰：地中有山，謙﹔君子以裒多益寡，稱物平施。,彖曰：謙，亨，天道下濟而光明，地道卑而上行。天道虧盈而益謙，地道變盈而流謙，鬼神害盈而福謙，人道惡盈而好謙。謙尊而光，卑而不可踰，君子之終也。,
謙初,謙,,初六：謙謙君子，用涉大川，吉。,象曰：謙謙君子，卑以自牧也。,,
謙二,謙,,六二：鳴謙，貞吉。,象曰：鳴謙貞吉，中心得也。,,
謙三,謙,,九三：勞謙君子，有終吉。,象曰：勞謙君子，萬民服也。,,
謙四,謙,,六四：無不利，撝謙。,象曰：無不利，撝謙﹔不違則也。,,
謙五,謙,,六五：不富，以其鄰，利用侵伐，無不利。,象曰：利用侵伐，征不服也。,,
謙上,謙,,上六：鳴謙，利用行師，征邑國。,象曰：鳴謙，志未得也。 可用行師，征邑國也。,,
豫,雷地豫,䷏,"豫,利建侯,行師。",象曰：雷出地奮，豫。 先王以作樂崇德，殷荐之上帝，以配祖考。,彖曰：豫，剛應而志行，順以動，豫。豫，順以動，故天地如之，而況建侯行師乎？天地以順動，故日月不過，而四時不忒﹔聖人以順動，則刑罰清而民服。 豫之時義大矣哉！,
豫初,豫,,初六：鳴豫，凶。,象曰：初六鳴豫，志窮凶也。,,
豫二,豫,,六二：介于石，不終日，貞吉。,象曰：不終日，貞吉﹔以中正也。,,
豫三,豫,,六三：盱豫，悔。 遲有悔。,象曰：盱豫有悔，位不當也。,,
豫四,豫,,九四：由豫，大有得。勿疑。 朋盍簪。,象曰：由豫，大有得﹔志大行也。,,
豫五,豫,,六五：貞疾，恆不死。,象曰：六五貞疾，乘剛也。 恆不死，中未亡也。,,
豫上,豫,,上六：冥豫，成有渝，無咎。,象曰：冥豫在上，何可長也。,,
隨,隨,,隨：元亨利貞，無咎。,象曰：澤中有雷，隨﹔君子以□晦入宴息。,彖曰：隨，剛來而下柔，動而說，隨。大亨貞，無咎，而天下隨時，隨之時義大矣哉！,
隨初,隨,,初九：官有渝，貞吉。 出門交有功。,象曰：官有渝，從正吉也。 出門交有功，不失也。,,
隨二,隨,,六二：系小子，失丈夫。,象曰：系小子，弗兼與也。,,
隨三,隨,,六三：系丈夫，失小子。 隨有求得，利居貞。,象曰：系丈夫，志舍下也。,,
隨四,隨,,九四：隨有獲，貞凶。有孚在道，以明，何咎。,象曰：隨有獲，其義凶也。 有孚在道，明功也。,,
隨五,隨,,九五：孚于嘉，吉。,象曰：孚于嘉，吉﹔位正中也。,,
隨上,隨,,上六：拘系之，乃從維之。 王用亨于西山。,象曰：拘系之，上窮也。,,
蠱,蠱,,蠱：元亨，利涉大川。 先甲三日，后甲三日。,象曰：山下有風，蠱﹔君子以振民育德。,彖曰：蠱，剛上而柔下，巽而止，蠱。 蠱，元亨，而天下治也。 利涉大川，往有事也。 先甲三日，后甲三日，終則有始，天行也。,
蠱初,蠱,,初六：干父之蠱，有子，考無咎，厲終吉。,象曰：干父之蠱，意承考也。,,
蠱二,蠱,,九二：干母之蠱，不可貞。,象曰：干母之蠱，得中道也。,,
蠱三,蠱,,九三：干父小有晦，無大咎。,象曰：干父之蠱，終無咎也。,,
蠱四,蠱,,六四：裕父之蠱，往見吝。,象曰：裕父之蠱，往未得也。,,
蠱五,蠱,,六五：干父之蠱，用譽。,象曰：干父之蠱﹔承以德也。,,
蠱上,蠱,,上九：不事王侯，高尚其事。,象曰：不事王侯，志可則也。,,
臨,臨,,臨：元，亨，利，貞。 至于八月有凶。,象曰：澤上有地，臨﹔ 君子以教思無窮，容保民無疆。,彖曰：臨，剛浸而長。 說而順，剛中而應，大亨以正，天之道也。 至于八月有凶，消不久也。,
臨初,臨,,初九：咸臨，貞吉。,象曰：咸臨貞吉，志行正也。,,
臨二,臨,,九二：咸臨，吉無不利。,象曰：咸臨，吉無不利﹔未順命也。,,
臨三,臨,,六三：甘臨，無攸利。 既憂之，無咎。,象曰：甘臨，位不當也。 既憂之，咎不長也。,,
臨四,臨,,六四：至臨，無咎。,象曰：至臨無咎，位當也。,,
臨五,臨,,六五：知臨，大君之宜，吉。,象曰：大君之宜，行中之謂也。,,
臨上,臨,,上六：敦臨，吉無咎。,象曰：敦臨之吉，志在內也。,,
觀,觀,,觀：盥而不荐，有孚顒若。,象曰：風行地上，觀﹔先王以省方，觀民設教。,彖曰：大觀在上，順而巽，中正以觀天下。觀，盥而不荐，有孚□若，下觀而化也。 觀天之神道，而四時不忒， 聖人以神道設教，而天下服矣。,
觀初,觀,,初六：童觀，小人無咎，君子吝。,象曰：初六童觀，小人道也。,,
觀二,觀,,六二：窺觀，利女貞。,象曰：窺觀女貞，亦可丑也。,,
觀三,觀,,六三：觀我生，進退。,象曰：觀我生，進退﹔未失道也。,,
觀四,觀,,六四：觀國之光，利用賓于王。,象曰：觀國之光，尚賓也。,,
觀五,觀,,九五：觀我生，君子無咎。,象曰：觀我生，觀民也。,,
觀上,觀,,上九：觀其生，君子無咎。,象曰：觀其生，志未平也。,,
噬嗑,噬嗑,,噬嗑：亨。 利用獄。,象曰：雷電噬嗑﹔先王以明罰敕法。,彖曰：頤中有物，曰噬嗑，噬嗑而亨。剛柔分，動而明，雷電合而章。柔得中而上行，雖不當位，利用獄也。,
噬嗑初,噬嗑,,初九：履校滅趾，無咎。,象曰：履校滅趾，不行也。,,
噬嗑二,噬嗑,,六二：噬膚滅鼻，無咎。,象曰：噬膚滅鼻，乘剛也。,,
噬嗑三,噬嗑,,六三：噬臘肉，遇毒﹔小吝，無咎。,象曰：遇毒，位不當也。,,
噬嗑四,噬嗑,,九四：噬乾胏，得金矢，利艱貞，吉。,象曰：利艱貞吉，未光也。,,
噬嗑五,噬嗑,,六五：噬乾肉，得黃金，貞厲，無咎。,象曰：貞厲無咎，得當也。,,
噬嗑上,噬嗑,,上九：何校滅耳，凶。,象曰：何校滅耳，聰不明也。,,
賁,賁,,賁：亨。 小利有所往。,象曰：山下有火，賁﹔君子以明庶政，無敢折獄。,彖曰：賁，亨﹔柔來而文剛，故亨。分剛上而文柔，故小利有攸往。天文也﹔文明以止，人文也。觀乎天文，以察時變﹔觀乎人文，以化成天下。,
賁初,賁,,初九：賁其趾，舍車而徒。,象曰：舍車而徒，義弗乘也。,,
賁二,賁,,六二：賁其須。,象曰：賁其須，與上興也。,,
賁三,賁,,九三：賁如濡如，永貞吉。,象曰：永貞之吉，終莫之陵也。,,
賁四,賁,,六四：賁如皤如，白馬翰如，匪寇婚媾。,象曰：六四，當位疑也。 匪寇婚媾，終無尤也。,,
賁五,賁,,六五：賁于丘園，束帛戔戔，吝，終吉。,象曰：六五之吉，有喜也。,,
賁上,賁,,上九：白賁，無咎。,象曰：白賁無咎，上得志也。,,
剝,剝,,剝：不利有攸往。,象曰：山附地上，剝﹔上以厚下，安宅。,彖曰：剝，剝也，柔變剛也。 不利有攸往，小人長也。 順而止之，觀象也。 君子尚消息盈虛，天行也。,
剝初,剝,,初六：剝床以足，蔑貞凶。,象曰：剝床以足，以滅下也。,,
剝二,剝,,六二：剝床以辨，蔑貞凶。,象曰：剝床以辨，未有與也。,,
剝三,剝,,六三：剝之，無咎。,象曰：剝之無咎，失上下也。,,
剝四,剝,,六四：剝床以膚，凶。,象曰：剝床以膚，切近災也。,,
剝五,剝,,六五：貫魚，以宮人寵，無不利。,象曰：以宮人寵，終無尤也。,,
剝上,剝,,上九：碩果不食，君子得輿，小人剝廬。,象曰：君子得輿，民所載也。 小人剝廬，終不可用也。,,
復,復,,復：亨。 出入無疾，朋來無咎。 反復其道，七日來復，利有攸往。,象曰：雷在地中，復﹔先王以至日閉關，商旅不行，后不省方。,彖曰：復亨﹔剛反，動而以順行，是以出入無疾，朋來無咎。 反復其道，七日來復，天行也。 利有攸往，剛長也。 復其見天地之心乎？,
復初,復,,初九：不復遠，無只悔，元吉。,象曰：不遠之復，以修身也。,,
復二,復,,六二：休復，吉。,象曰：休復之吉，以下仁也。,,
復三,復,,六三：頻復，厲無咎。,象曰：頻復之厲，義無咎也。,,
復四,復,,六四：中行獨復。,象曰：中行獨復，以從道也。,,
復五,復,,六五：敦復，無悔。,象曰：敦復無悔，中以自考也。,,
復上,復,,上六：迷復，凶，有災眚。用行師，終有大敗，以其國君，凶﹔至于十年，不克征。,象曰：迷復之凶，反君道也。,,
無妄,無妄,,無妄：元，亨，利，貞。 其匪正有眚，不利有攸往。,象曰：天下雷行，物與無妄﹔先王以茂對時，育萬物。,彖曰：無妄，剛自外來，而為主於內。動而健，剛中而應，大亨以正，天之命也。 其匪正有眚，不利有攸往。無妄之往，何之矣？ 天命不佑，行矣哉？,
無妄初,無妄,,初九：無妄，往吉。,象曰：無妄之往，得志也。,,
無妄二,無妄,,六二：不耕獲，不菑畬，則利有攸往。,象曰：不耕獲，未富也。,,
無妄三,無妄,,六三：無妄之災，或系之牛，行人之得，邑人之災。,象曰：行人得牛，邑人災也。,,
無妄四,無妄,,九四：可貞，無咎。,象曰：可貞無咎，固有之也。,,
無妄五,無妄,,九五：無妄之疾，勿藥有喜。,象曰：無妄之藥，不可試也。,,
無妄上,無妄,,上九：無妄，行有眚，無攸利。,象曰：無妄之行，窮之災也。,,
